_id,playerId,gameId,roundId,stageId,name,jsonData,createdAt
85n5Gb9acNNmuzKKQ,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608120216}",2023-04-27T15:08:40Z
33e8nKcZJJK9yKQZv,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""caterpillar"",""at"":1682608121285}",2023-04-27T15:08:41Z
KufXBPp97MDyBpSsq,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608122490}",2023-04-27T15:08:42Z
gZSc8Hg3cQ8J2E5PS,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""goat"",""at"":1682608124669}",2023-04-27T15:08:44Z
ZxmaDwStJnejpcyu7,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608125230}",2023-04-27T15:08:45Z
QXeTagCYuP6grnsnG,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""cabbage"",""at"":1682608127435}",2023-04-27T15:08:47Z
Mvev98T3T79sY9DBS,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608128033}",2023-04-27T15:08:48Z
XeBi2Amdhq83RgoRu,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""wolf"",""at"":1682608128627}",2023-04-27T15:08:48Z
tDdwsbGMLtphSTXK5,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608129285}",2023-04-27T15:08:49Z
uPMd5YtrJeM5FFGfS,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""goat"",""at"":1682608165002}",2023-04-27T15:09:25Z
SFZG2zqbyoXJyRwYo,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608165606}",2023-04-27T15:09:25Z
ZszdbuSd6eEguPeRn,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""caterpillar"",""at"":1682608166435}",2023-04-27T15:09:26Z
SQ7qE3H2qj9yWtGfr,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608166855}",2023-04-27T15:09:26Z
GDTYfKhckhoyv2Y46,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""caterpillar"",""at"":1682608173719}",2023-04-27T15:09:33Z
dz6mZPaBWDeQC8DsT,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608174239}",2023-04-27T15:09:34Z
Jk4gGDykyHqjJbCpu,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""cabbage"",""at"":1682608176202}",2023-04-27T15:09:36Z
We7XLuCQvY4L3S9dt,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608176965}",2023-04-27T15:09:37Z
4WbDmnNHBNoKw72j5,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""wolf"",""at"":1682608189335}",2023-04-27T15:09:49Z
8LvxNGpubRH7rcvGM,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608189761}",2023-04-27T15:09:49Z
