task,html,github,path,script
Desert survival,"<h2>Desert survival</h2><br><h2>1. Set-Up</h2><p>Participants view information describing a survival scenario in which a plane crashes in the desert. The survivors are able to salvage a list of 16 items (e.g., water, machete, compass, cosmetic mirror) from the wreckage. Everyone sees the same list of items.</p><br><h2>2. Objective / Goal</h2><p>The goal is to rank all 16 items in the order of most important to least important for survival. For example, if water is the most important for survival, then it would receive the rank of 1. If the cosmetic mirror is the least important for survival, then it gets the rank of 16.</p><p>Participants' rankings are evaluated based on how close their rankings are to those created by a panel of survival experts. That is, the expert ranking is the ""true"" answer, and the closer a participant is to the true answer, the more points they earn. The highest possible score is achieved when participants rank all 16 items in the exact same order as the experts did.</p><p>If working in a team, participants are able to discuss the scenario with each other and come up with a single set of rankings as a team.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/12fe1bf10e0d96710f3a47d95bcbde9069db261e,tasks/summaries/Desert survival-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
The N light bulbs game,"<h2>The N light bulbs game</h2><br><h2>1. Set-Up</h2><p>Participants see 10 light bulbs.</p><p>Some of the light bulbs can be turned ""on"" or ""off"" by clicking on them. Other light bulbs are stuck &mdash; they are either on or off, and they cannot be changed. The light bulbs that are stuck are marked with a big ""X.""</p><p>Different patterns of light bulbs are worth different numbers of points. For example, maybe an alternating pattern &mdash; on, off, on, off, etc. &mdash; has the highest points for this round of the game. However, participants do not know that this is the best pattern.</p><br><h2>2. Objective / Goal</h2><p>The goal is to get the most points by setting the lightbulbs to a pattern that maximizes the point value. </p><p>This means participants have to switch the light bulbs (that are not stuck) on and off to try to figure out which configurations have the highest payoff. For each guess, participants only get to change one light bulb (turn it ""on"" or ""off"") at a time. There are a limited number of guesses. If working in teams, everyone collectively determines the next guess.</p><p>The computer will give feedback and tell the participant how many points they earned after each guess. While there is a theoretical ""best"" configuration,  participants will not be told if they have achieved it; they only know how many points the guess is worth. It's possible, for example, that they make a guess that gets to the optimal point value, but then make another guess that performs worse. Participants also have the option to end the round early if they are happy with their guess.</p><p>A final useful piece of information is that the lightbulbs can be thought of as binary variables (a 0 or 1), which would then allow this game to be played by an algorithm.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/0c7b29bdcfbcda80acef4cd5be03e9febf31aca3,tasks/summaries/The N light bulbs game-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Reading the mind in the eyes,"<h2>Reading the mind in the eyes</h2><br><h2>1. Set-Up</h2><p>Participants were given 36 pairs of eyes. Each pair is a photo of a person, cropped so that only the eyes are visible.</p><p>Each pair of eyes is intended to convey some sort of emotion &mdash; some of them are squinting with suspicion or wide-eyed with fear; some of them have their eyebrows raised in surprise; others have crinkles at the corners to suggest a smile.</p><p>Below the picture of the eyes, participants see four words describing different emotions: for example, ""playful,"" ""sad,"" ""irritated,"" and ""comforted.""</p><br><h2>2. Objective / Goal</h2><p>The goal is to correctly label the eyes with an associated emotion by selecting the right one out of the four words.</p><p>Each pair of eyes has an objectively correct label out of the four given. Therefore, participants' goal is to answer all questions correctly. They achieve the highest possible score if they label every pair of eyes with the right emotion. Participants have a limited amount of time to finish the test.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/e8bb671b296c889abdd5a627fea271944d602605,tasks/summaries/Reading the mind in the eyes-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Iterative lemonade stand task,"<h2>Iterative lemonade stand task</h2><br><h2>1. Set-Up</h2><p>Participants are given an an interactive online interface that represents managing a lemonade cart. The program allows users to tweak five variables: (1) price, (2) lemon content, (3) sugar content, (4) lemonade color, and (5) location of lemonade cart. There are limited options for lemonade color and cart location that are predefined within the task. For example, the lemonade can only be either yellow or orange, and a cart can either stand in the park or near the supermarket. Price can be any number the participant decides to use, while lemon and sugar content can be any value between 0 and 100 percent.</p><br><h2>2. Objective / Goal</h2><p>The goal is to maximize the cart's profit by adjusting the five given variables within a fixed amount of time. For example, participants can decide to sell their orange lemonade in the park with 20% lemon content and 5% sugar content for $3 a glass. There is a formula in the program that quantifies the cart's profit and shows participants instant feedback. Participants will not be told that they have reached the maximum possible profit; rather, they simply see feedback about the current profit and are able to adjust as many times as they want before they submit.</p><p>Participants are evaluated based on their profit. The more profit their cart makes after they tweak the variables, the better their performance is on the task.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/61f92dbd5e19bf4eb4b08972a22eb0e8f5b6ec06,tasks/summaries/Iterative lemonade stand task-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Random dot motion,"<h2>Random dot motion</h2><br><h2>1. Set-Up</h2><p>Participants see an image with many moving dots on the screen. Some of the dots are moving consistently in the same direction (""correlated dots""); other dots are simply bouncing around in random directions (""random dots"").</p><p>The percentage of dots moving in the same direction varies, which makes the task easier or harder. For example, if 50% of of the dots are correlated dots, then it is easy to observe the direction that the correlated dots are ""flowing"" in; if only 5% of the dots are correlated, than the picture looks mostly just like dots bouncing randomly, and it is harder to discern the direction that the correlated dots are moving in.</p><br><h2>2. Objective / Goal</h2><p>The goal is to correctly determine the direction that the correlated dots are moving in. </p><p>Participants submit their answer by using their mouse to place an arrow that points in the main direction of motion. They must submit their answer in a limited amount of time.</p><p>There is an objectively correct answer, since the system is designed for the correlated dots to be moving in a specific direction. Participants are evaluated based on how close they are to the objectively correct direction. Their score is calculated based on the angle that their direction forms with the true direction; if they get the direction exactly right, then the angle is 0 degrees, so they would get the highest possible score. If they are off by a small amount (e.g., the angle is 10 degrees), they would get more points than if the participants are off by a significant amount (e.g., the angle is 90 degrees).</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/b1920249c70bac8369eb82fa388beef9f1c8a28d,tasks/summaries/Random dot motion-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Crisis mapping,"<h2>Crisis mapping</h2><br><h2>1. Set-Up</h2><p>Participants are given a ""crisis mapping"" tool on a computer. They view a collection of pre-processed 1567 tweets about Typhoon Pablo in the Philippines, which were posted on December 4-5, 2012, and they receive detailed instructions on how to navigate the crisis mapping interface.</p><p>Some of the tweets contain information relevant to the typhoon, such as evacuation centers, damaged infrastructure, or number of deaths, while other tweets are irrelevant to the disaster.</p><br><h2>2. Objective / Goal</h2><p>The goal is to select relevant tweets and geo-locate, time-stamp, and categorize damage/flooding photos and videos in them, creating a precise and accurate crisis map for Typhoon Pablo within a fixed amount of time.</p><p>Experimenters pre-define a ""gold standard"" map with 49 distinct events in different regions. Participants only get credit based on how close their map is to the ""gold"" map. Therefore, their goal is to identify as many relevant events as possible without including irrelevant events, and the highest possible score is achieved when they identify precisely the same events as those in the ""gold standard.""</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/c4765b7f194a81c47d49c052ccec1edc281231a1,tasks/summaries/Crisis mapping-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Game of Clue - Terrorist Attack,"<h2>Game of Clue - Terrorist Attack</h2><br><h2>1. Set-Up</h2><p>Participants work in a shared web interface in which they solve a 'who-done-it' game like Clue or Cluedo, but involving a terrorist threat. Everyone in the game is solving the same puzzle.</p><p>Each participant has a personal ""inbox"" where they have their own list of facts and clues. In addition, at specified intervals of time, participants are able to use a ""search engine"" tool to look for more clues, which then appear in their inbox. For those who are working in groups, participants also have the ability to share clues by sending them to each other and to add comments to each other's clues.</p><br><h2>2. Objective / Goal</h2><p>The goal was to solve for four facts:</p><ol><li>Who would carry out the terrorist attack</li><li>What would be the target</li><li>Where the attack would take place</li><li>When the attack would take place.</li></ol><p>The game is designed so that there is exactly one correct answer for each of these four facts.</p><p>Participants submit their final answers via the web interface. Since there are multiple facts that need to be solved, participants are able to submit one ""solved"" fact at a time. They are also able to return to the submission page to change their answers at any point before the time limit ends. Participants are not given any feedback about whether their submissions are right or wrong, but when playing in a group, they are able to view what other people have been guessing so far (which can help provide a hint).</p><p>Participants are evaluated not only for correctly finding the exact facts, but also for solving the mystery as quickly as possible &mdash; they earn more points for finding each fact faster. Therefore, someone who finds all 4 facts in 2 minutes will earn more points than someone who submits the same answers, but takes 5 minutes to reach their conclusion.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/9961e4fe8aa541f6ef5f7b6cb171304ee81a2668,tasks/summaries/Game of Clue - Terrorist Attack-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Sudoku,"<h2>Sudoku</h2><br><h2>1. Set-Up</h2><p>Participants see a shared online system that displays a Sudoku puzzle. </p><p>Sudoku is a logic puzzle, in which there is a 9x9 grid, which is divided into nine 3x3 subgrids (also known as ""boxes"" or ""regions""). Each cell in a region has a true underlying value from 1-9; however, most of the cells appear empty to the player, and only a few of them have the correct numbers filled in.</p><br><h2>2. Objective / Goal</h2><p>The goal is to solve the Sudoku puzzle within a limited amount of time. This means that participants need to fill in each blank cell with the correct underlying number from 1-9; in addition, they must satisfy the constraint that every row, every column, and every 3x3 region can only show each digit from 1-9 exactly once.</p><p>For a given Sudoku puzzle, there is only one correct answer. Participants either correctly identify the underlying value for every cell, or they fail the Sudoku game.</p><p>Finally, participants working in groups may use a chat function to discuss which value should be placed in a given cell.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/1ecd1c518ca1685a790722ea832907e6c90d660a,tasks/summaries/Sudoku-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Unscramble words (anagrams),"<h2>Unscramble words (anagrams)</h2><br><h2>1. Set-Up</h2><p>Participants see a shared list of 24 randomly scrambled words. For example, a word on the list could be, ""SEEMTRIMUM."" This is an anagram (a word created by scrambling the letters) of the word ""SUMMERTIME.""</p><br><h2>2. Objective / Goal</h2><p>The goal is to unscramble as many words from the list as possible in a limited amount of time. Each of the scambled words has exactly one correct answer. Participants obtain the highest score if they are able to unscramble all the words; otherwise, they earn points for every word that they are successfully able to unscramble. </p><p>Those working in a team are able to collaborate by discussing the words before they submit.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/30cf1ca8903915963d1a5a0435a8ef9c2966c3ec,tasks/summaries/Unscramble words (anagrams)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Recall word lists,"<h2>Recall word lists</h2><br><h2>1. Set-Up</h2><p>Participants hear about a list of words. For example, they could listen to a tape of a male voice reading several words at the rate of one word per second.</p><br><h2>2. Objective / Goal</h2><p>The goal is to remember the list of words and then write down as many words from the list as possible. </p><p>Participants are required to start their list with the last word they heard, or else it is not counted. Otherwise, words can be written in any order. Participants have a limited amount of time to recall all the words they can.</p><p>The maximum score occurs if participants recall all words correctly. They get zero points for recalling no words, or for failing to start the list with the final word. Participants lose points for incorrectly recalling words that were not on the list. If working in a team, participants can collaborate to submit the final list of recalled words.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/d601341a49b846db778981bb57c8ae710c6ed11c,tasks/summaries/Recall word lists-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
hk_ad8d6eb51f0daad1 design task,"<h2>hk_ad8d6eb51f0daad1 design task</h2><br><h2>1. Set-Up</h2><p>Participants receive written and video instructions of a task to design a house, a garage, and a pool in a computer program. Within the program, they have a limited number of building blocks of different color and size to use. For example, participants can view a table of available materials, in which they can see twenty-seven 1x1 red blocks, twelve 2x4 blue blocks, zero 1x6 orange blocks, etc. </p><p>Participants receive scoring information for each object. For example, participants can see that each square foot used to build a pool will bring them a $50 bonus and that following certain design restrictions (e.g., using certain colors for the pool and making it symmetric) will give them a $1500 bonus. Participants also receive rules to follow for building objects. For example, a pool must include a diving board and have blue floors.</p><br><h2>2. Objective / Goal</h2><p>The goal is to design a house, a garage, and a pool of as high value as possible. Three objects must be designed from a limited set of building blocks within a fixed amount of time. The task can only be considered completed if participants adhere to the provided rules for each building. If participants don't follow the building rules, their design project fails.</p><p>In other words, participants have to maximize the value of objects they are designing but they have to do so in a specific way, balancing tradeoffs of following the building rules and adding value to each object. Within these restrictions, however, they are free to be creative and produce any design they wish.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/f7804cfb2764f0421a91d2c04af7d05059987ccf,tasks/summaries/hk_ad8d6eb51f0daad1 design task-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Space Fortress,"<h2>Space Fortress</h2><br><h2>1. Set-Up</h2><p>Participants see a video game, in which a ""space fortress"" is at the center of the screen. The fortress can rotate in all directions and fire off ""shells"" at anyone who attempts to attack it.</p><p>In this game, each subject controls a spaceship, which is able to fly around freely and shoot missiles at the space fortress. As they approach the space fortress, subjects must also dodge ""mines,"" which periodically appear on the screen and chase the subject's ship. If a mine hits the subject's ship, the spaceship will suffer damage. However, some special floating objects &mdash; which appear to be mines &mdash; will actually give the subject a ""power-up"" and damage the space fortress instead.</p><br><h2>2. Objective / Goal</h2><p>The goal of the game is to maximize points by destroying the space fortress. Participants need to attack the space fortress as much as possible while avoiding damage from enemy attacks and mines. This game can be either single-player or multiplayer; in either case, the objective is the same.</p><p>To summarize, participants earn points when:</p><ol><li>They successfully hit the fortress;</li><li>The fortress is destroyed (which requires hitting it repeatedly and progressively weakening it);</li><li>Participants earn a bonus in the game (e.g., through a power-up);</li><li>The participants destory or neutralize a mine.</li></ol><p>On the other hand, participants lose points when:</p><ol><li>Their ship is damaged (e.g., by an enemy shell or a mine);</li><li>Their ship is destroyed (which occurs after the ship suffers too much damage);</li><li>The participant runs out of missiles.</li></ol><p>Participants are evaluated on their final game score.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/4ac7263407418def53fe726df62e73be716f5707,tasks/summaries/Space Fortress-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Mastermind,"<h2>Mastermind</h2><br><h2>1. Set-Up</h2><p>Participants get a series of pegs, or points, of different colors to use in a logic game played on the computer. For example, participants can get 6 colors to use during the game: blue, red, green, orange, yellow, and purple.</p><p>As the game begins, an algorithm randomly designates a color pattern as the correct answer to the game. For example, the correct pattern to the game can consist of 4 colors, in this order: yellow, orange, yellow, red.</p><br><h2>2. Objective / Goal</h2><p>The goal is to identify all the colors and their positions from the correct pattern, using as few trials as possible and within a fixed amount of time.</p><p>As the game begins, participants have a limited number of trials to propose color patterns. Participants receive immediate feedback in the form of black and white pegs after each trial. A white peg means that one of the colors they chose is in the pattern (but in the wrong position); a black peg means that one of the colors they chose has both the color and the position correct.</p><p>For example, if the correct pattern is yellow, orange, yellow, red, and a participant proposes blue, green, orange, red, then this participants correctly identifies two colors from the pattern and a position of one of them correctly. Therefore, they would receive a white peg for orange (correct color, wrong position) and a black peg for red (correct color, correct position). However, participants don't know from the feedback exactly which color and position they identified correctly; instead, they have to try to deduce it from feedback for each trial.</p><p>Participants try to guess the pattern using as few tries as possible, and get the highest score by receiving as many pegs, especially black ones, as early in the game as possible.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/3e3bc094bd3bef84457f519fd02ab3e5217088c1,tasks/summaries/Mastermind-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Carter Racing,"<h2>Carter Racing</h2><br><h2>1. Set-Up</h2><p>Participants get several pages of description about a dilemma facing a racecar team, which involves deciding whether to go ahead with the race that would begin in the immediate future. The description mentions that the team has been experiencing a series of engine failures and that an engine failure during this race on national television will present a danger to the driver and team's sponsorship. However, if the team does well on the race, it will get a lucrative sponsorship deal.</p><p>Participants are given a chart with information about the temperatures during the last 7 engine failures, which shows a range of temperatures 53-75 degrees and a mean temperature of 64 degrees. The chart is misleading because it does not contain information about the air temperature when the car does NOT experience an engine failure (therefore, the information is biased).</p><p>Participants are also given instructions that mention that they can ask for any additional information during the task, but that the request must be precise.</p><br><h2>2. Objective / Goal</h2><p>The goal is to come up with reasons and ultimately decide to terminate the participation in the race within a fixed amount of time.</p><p>The data in the description is gathered from the Report of the Presidential Commission on the Space Shuttle Challenger Accident in 1986. The relationship between ambient temperature and O-ring failure is disguised as the relationship between air temperature and car engine failures. In other words, participants that decide to go ahead with the race make a decision that is parallel to the decision to go ahead with the Space Shuttle Challenger launch.</p><p>Participants have to recognize that the data they have is inconclusive and ask the experimenter for the air temperatures when the engine have not failed. If they do so, the experimenter provides them with an additional chart of the last 17 races without an engine failure. The chart shows that races are clearly warmer when engine failures does not occur with the range of 66-82 degrees and a mean temperature of 73 degrees.</p><p>Therefore, the only correct and precise solution to the task is not to proceed with the race, while participants that come up with a conclusion to proceed with the race fail the task. Participants also have to explain their reasoning behind this decision by finding a relationship between engine failures and air temperatures.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/697c9e03da2c8b681f9a65a0030bbb77affe87bf,tasks/summaries/Carter Racing-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
"NASA Moon survival","<h2>NASA Moon survival</h2><br><h2>1. Set-Up</h2><p>Participants view information describing a survival scenario in which a space ship crashes on the moon. The survivors are able to salvage a list of 15 items (e.g., matches, food concentrate, a 50-foot nylon rope, a portable heating unit, two 100-pound tanks of oxygen) from the wreckage. Everyone sees the same list of items. The survivors now need to carry the most important items on a 200-mile trek to get to ""home base.""</p><br><h2>2. Objective / Goal</h2><p>The goal is to rank all 15 items in the order of most important to least important for survival, as the astronauts travel from the wrecked spaceship to home base. For example, if the oxygen tanks are the most important for survival, then they would receive the rank of 1. If the 50-foot rope is the least important for survival, then it gets the rank of 15.</p><p>Participants' rankings are evaluated based on how close their rankings are to those created by a panel of experts from NASA. That is, the expert ranking is the ""true"" answer, and the closer a participant is to the true answer, the more points they earn. The highest possible score is achieved when participants rank all 15 items in the exact same order as the experts did.</p><p>If working in a team, participants are able to discuss the scenario with each other and come up with a single set of rankings as a team.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/611b7846e04bc728e40cfae30b313dfee1eeb306,tasks/summaries/NASA Moon survival-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Splitting a deck of cards,"<h2>Splitting a deck of cards</h2><br><h2>1. Set-Up</h2><p>Participants are shown cards from a standard deck, one by one. As the participants see the cards, they are told whether the card belongs to a ""rule"" or not.</p><p>From the instructions, participants know that there is a rule dividing the 52 cards into two categories, but they do not know what the rule is. The rule can be based on numerical value of cards; their color, suit, logical connectives, alternation, or any combination of these. For example, a rule could be ""the card is divisible by 3,"" or ""two black cards and one red card alternate.""</p><p>The fist card card shown is always an example of the rule (it's an exemplar). As participants see more cards, they will see some exemplars, and some cards that do not belong to the rule (non-exemplars).</p><br><h2>2. Objective / Goal</h2><p>The goal is to correctly figure out the rule dividing the deck of cards in as few trials as possible and within a fixed amount of time.</p><p>As participant keep seeing new cards one-by-one, they make proposals as to what the rule is and receive immediate feedback. Cards that have been shown get sorted into exemplars and non-exemplars and stay in front of participants so that they can see patterns. To get a better score on the task, participants have to understand what the pattern is as fast as they can.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/732efca83a5cc086246240f5ff9c63ddf55c8d99,tasks/summaries/Splitting a deck of cards-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Arithmetic problem 1,"<h2>Arithmetic problem 1</h2><br><h2>1. Set-Up</h2><p>Participants see a hypothetical story problem about five people who operate five machines. The problem reads as follows:</p><p>You are a five man team whose job it is to manufacture a product, the completion of which requires the operation of five machines. In the past, you have rotated positions to avoid boredom, but each man has spent most of the time operating the machine that he prefers. John prefers machine 3, Steve machine 2, Walt machine 4, Robert machine 1, and Dennis machine 5. </p><p>The Methods man has been around checking the time each man requires to complete the operation on one product when he is operating each of the five machines. He has come up with the following results:</p><table><thead><tr><th></th><th>Machine 1</th><th>Machine 2</th><th>Machine 3</th><th>Machine 4</th><th>Machine 5</th></tr></thead><tbody><tr><td>John</td><td>3 min</td><td>3 min</td><td>4 min</td><td>3.5 min</td><td>4.5 min</td></tr><tr><td>Steve</td><td>2 min</td><td>2 min</td><td>5 min</td><td>2.5 min</td><td>3.5 min</td></tr><tr><td>Walt</td><td>1 min</td><td>2 min</td><td>5 min</td><td>2 min</td><td>1.5 min</td></tr><tr><td>Robert</td><td>4 min</td><td>1 min</td><td>3 min</td><td>3.5 min</td><td>3 min</td></tr><tr><td>Dennis</td><td>5 min</td><td>3 min</td><td>2 min</td><td>5 min</td><td>3 min</td></tr></tbody></table><p>Your foreman has noticed that when each man runs the machine that he most prefers, the total time spent on each product is 16 minutes. It seems to him that a different method of operation would result in substantial savings. He believes in letting his workers make their own decision, in so far as possible, and has asked that you consider the problem and try to come up with a plan that will be more efficient than the present mode of operation.</p><br><h2>2. Objective / Goal</h2><p>The goal is to pair each man with one of the machines, such that the amount of time it takes to manufacture the product is minimized.</p><p>There is exactly one right answer to this problem &mdash; it is to put Walt on machine 5, Steve on machine 4, Dennis on machine 3, Robert on machine 2, and John on machine 1. In the optimal answer, the total time to create the product is 10 minutes.</p><p>Participants have a limited amount of time to submit their answers. Those working in groups can discuss their answers before submitting in an online portal.</p><p>The task is graded based on how close a submission is to the true minimum time for creating the product. Submitting the correct answer (10 minutes) will give participants the highest possible score; a solution that builds the product in 11 minutes will get more points than a solution that builds the product in 15 minutes.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/22ba525cd1a757777314e60b9f12fe6e6a5ab47b,tasks/summaries/Arithmetic problem 1-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
"Rank cities by population, rank words by familiarity","<h2>Rank cities by population, rank words by familiarity</h2><br><h2>1. Set-Up</h2><p>Participants receive a list of cities (e.g., South Bend, Little Rock, Jacksonville, Portland, Charlotte, Lowell) or a list of words (e.g., Uncle, Kennel, Effort, Money, Village).</p><br><h2>2. Objective / Goal</h2><p>The goal is to rank the cities by their population according to the most recent population census, and to rank the words by familiarity to people in the participants' country. The rank of 1 is given to the city with the largest population or to the most common word, the rank of 2 is given to the second largest city or second most familiar word, and so on. Participants must do this task as correctly and accurately as possible and within a fixed amount of time.</p><p>Participants are evaluated based on how correct their ranking is compared to the ""ground truth"" data, which is either the population census or the data on familiarity with certain words within a nation. The maximum score is achieved if the ranking is fully correct and the score is maximized by assigning as many correct rank values as possible.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/f809f2767747cbc99b233dda7be304e3c7aa4ef0,"tasks/summaries/Rank cities by population, rank words by familiarity-writeup.md",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Run a mini business,"<h2>Run a mini business</h2><br><h2>1. Set-Up</h2><p>Participants are given information on running a tinker toy manufacturing company. The information is organized in the form of specialized tables that have parameters for the tinker toys, as well as details on assembling different models, order forms, costs, and prices. In addition, the tables reflect how costs and selling prices fluctuate over time.</p><p>Participants can view these tables and run their business through an interface on the computer. In the beginning, participants are given a base pay to start off their business. As participants play, they can lose and gain money.</p><br><h2>2. Objective / Goal</h2><p>The goal is to make as large a profit as possible from running the business for a fixed amount of time.</p><p>Based on the information provided to them, participants can ""buy"" parts, ""manufacture"" products, and ""sell"" them at the price they determine. Participants are evaluated based on how much money they have by the end of the game's time limit. The less money they lose and the more money they make, the more successful their performance is on the task.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/d7e53b20e5934ec7603f5ab51db1afc597287937,tasks/summaries/Run a mini business-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Estimating Factual Quantities,"<h2>Estimating Factual Quantities</h2><br><h2>1. Set-Up</h2><p>Participants are given a series of questions on estimating certain factual quantities. For example, participants can be asked to estimate the year when DNA was discovered or the current price per share of Twitter stock.</p><br><h2>2. Objective / Goal</h2><p>The goal is to answer as many questions from the series as correctly as possible within a fixed amount of time, and without looking up the solutions online.</p><p>Participants are evaluated based on the percent difference of their estimation from the correct answer. Participants receive the maximum score if all their estimations are exactly like the correct answers and the percent difference between them is 0. Participants maximize their score by submitting estimations that are as close to the right answers as possible. For example, because the DNA was discovered in 1869, participants get the maximum score for this estimation if their guess is 1869, while an estimation of 1860 receives a higher score than an estimation of 1900.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/77aae9937fb064daeccb8576b02f501996c3ca8a,tasks/summaries/Estimating Factual Quantities-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Object based generalization for reasoning (Phyre),"<h2>Object based generalization for reasoning (Phyre)</h2><br><h2>1. Set-Up</h2><p>Participants get a series of puzzles related to properties of physical objects in a simulated 2D world on a computer. Access is given to all puzzles at once and participants can choose which puzzles to work on.</p><p>For example, in one of the puzzles, participants can view an environment with two blue and green balls on little platforms floating in space, with a slanted floor at the bottom. Considering this scenario, participants are asked to make the green ball and blue ball touch.</p><p>Participants are expected to solve puzzles by adding physical objects to the environment so that when the physical simulation is run, the puzzle gets solved. For example, the participant could use an object to knock the blue and green balls off of their floating platforms, and cause them to roll down the ramp and touch (thus completing the puzzle). There are many ways to creatively add objects to the environment and cause different physical consequences.</p><br><h2>2. Objective / Goal</h2><p>The goal is to solve as many puzzles in as few attempts as possible within a fixed amount of time. The maximum score occurs when all puzzles are solved during their first attempts. </p><p>After each unsuccessful attempt, the environment resets to its initial state and participants can try again until they run out of time, or decide to try a different puzzle.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/017bf5024eb0e6797f0ef58ccb47b52efa993aa1,tasks/summaries/Object based generalization for reasoning (Phyre)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
